,Train Acc,Train Loss1,Train Loss2,Train Loss
0,0.25625,1.9876186430454255,0.0,1.9876186430454255
1,0.490625,1.7291334211826324,0.13488837964832784,1.864021795988083
2,0.590625,1.4678237318992615,0.1966336563229561,1.6644573867321015
3,0.73125,1.1109721839427948,0.23854632899165154,1.3495185256004334
4,0.753125,0.9903740525245667,0.2375819817185402,1.2279560327529908
5,0.7828125,0.8611881226301193,0.24444034472107887,1.1056284725666046
6,0.8265625,0.7711898759007454,0.24678584486246108,1.0179757267236709
7,0.8421875,0.7463872164487839,0.22990583926439284,0.9762930542230606
8,0.840625,0.6866044640541077,0.2245601609349251,0.9111646175384521
9,0.8796875,0.5833217456936837,0.2411900445818901,0.8245117932558059
10,0.8625,0.5847143545746804,0.22543000504374505,0.8101443588733673
11,0.846875,0.5788180232048035,0.21675869971513748,0.7955767273902893
12,0.884375,0.5524680435657501,0.21596418097615241,0.7684322208166122
13,0.8984375,0.4688190370798111,0.21193433031439782,0.680753368139267
14,0.9109375,0.4697592377662659,0.21059360057115556,0.680352833867073
15,0.9,0.42775731310248377,0.2055780790746212,0.6333353966474533
16,0.9203125,0.4213152103126049,0.1983839437365532,0.6196991518139839
17,0.9140625,0.42957705706357957,0.18912968710064887,0.6187067419290543
18,0.9484375,0.36767267137765886,0.18883984833955764,0.5565125167369842
19,0.9171875,0.3830477222800255,0.1821007587015629,0.5651484817266464
20,0.921875,0.3962911620736122,0.17767445892095565,0.573965622484684
21,0.9390625,0.3398148186504841,0.1814357280731201,0.52125054448843
22,0.934375,0.34648683443665507,0.18007418364286423,0.5265610188245773
23,0.9328125,0.36042681634426116,0.1726528275758028,0.5330796480178833
24,0.934375,0.3530233778059483,0.1682859890162945,0.5213093668222427
25,0.946875,0.29447153881192206,0.17101026326417923,0.465481798350811
26,0.9328125,0.31946717724204066,0.16006287708878517,0.479530057311058
27,0.93125,0.34538715407252313,0.16210688203573226,0.5074940338730812
